SRforSCF_03.csv, ñ@ê¸ñ íºíBì˙éÀó , êÖïΩñ ìVãÛì˙éÀó , ígñ[1_ó‚ñ[2
13010, 375, 134, 1
13011, 523, 124, 1
13012, 681, 86, 1
13013, 750, 62, 1
13014, 564, 86, 1
13015, 411, 76, 1
13016, 387, 33, 1
13017, 2, 2, 1
13018, 0, 0, 1
13019, 0, 0, 1
13020, 0, 0, 1
13021, 0, 0, 1
13022, 0, 0, 1
13023, 0, 0, 1
13024, 0, 0, 1
13101, 0, 0, 1
13102, 0, 0, 1
13103, 0, 0, 1
13104, 0, 0, 1
13105, 0, 0, 1
13106, 0, 0, 1
13107, 81, 12, 1
13108, 437, 48, 1
13109, 569, 69, 1
13110, 628, 81, 1
13111, 600, 105, 1
13112, 676, 88, 1
13113, 712, 72, 1
13114, 604, 79, 1
13115, 382, 81, 1
13116, 124, 38, 1
13117, 2, 2, 1
13118, 0, 0, 1
13119, 0, 0, 1
13120, 0, 0, 1
13121, 0, 0, 1
13122, 0, 0, 1
13123, 0, 0, 1
13124, 0, 0, 1
20101, 0, 0, 1
20102, 0, 0, 1
20103, 0, 0, 1
20104, 0, 0, 1
20105, 0, 0, 1
20106, 0, 0, 1
20107, 38, 10, 1
20108, 60, 53, 1
20109, 55, 93, 1
20110, 53, 129, 1
20111, 57, 153, 1
20112, 342, 172, 1
20113, 174, 172, 1
20114, 72, 124, 1
20115, 50, 76, 1
20116, 74, 36, 1
20117, 2, 2, 1
20118, 0, 0, 1
20119, 0, 0, 1
20120, 0, 0, 1
20121, 0, 0, 1
20122, 0, 0, 1
20123, 0, 0, 1
20124, 0, 0, 1
20201, 0, 0, 1
20202, 0, 0, 1
20203, 0, 0, 1
20204, 0, 0, 1
20205, 0, 0, 1
20206, 0, 0, 1
20207, 205, 12, 1
20208, 492, 45, 1
20209, 640, 60, 1
20210, 722, 62, 1
20211, 815, 50, 1
20212, 901, 31, 1
20213, 913, 33, 1
20214, 860, 36, 1
20215, 741, 38, 1
20216, 277, 41, 1
20217, 10, 7, 1
20218, 0, 0, 1
20219, 0, 0, 1
20220, 0, 0, 1
20221, 0, 0, 1
20222, 0, 0, 1
20223, 0, 0, 1
20224, 0, 0, 1
20301, 0, 0, 1
20302, 0, 0, 1
20303, 0, 0, 1
20304, 0, 0, 1
20305, 0, 0, 1
20306, 0, 0, 1
20307, 19, 10, 1
20308, 98, 60, 1
20309, 370, 103, 1
20310, 679, 74, 1
20311, 370, 162, 1
20312, 291, 184, 1
20313, 511, 127, 1
20314, 108, 136, 1
20315, 22, 60, 1
20316, 26, 29, 1
20317, 2, 2, 1
20318, 0, 0, 1
20319, 0, 0, 1
20320, 0, 0, 1
20321, 0, 0, 1
20322, 0, 0, 1
20323, 0, 0, 1
20324, 0, 0, 1
20401, 0, 0, 1
20402, 0, 0, 1
20403, 0, 0, 1
20404, 0, 0, 1
20405, 0, 0, 1
20406, 0, 0, 1
20407, 19, 10, 1
20408, 38, 48, 1
20409, 74, 105, 1
20410, 103, 151, 1
20411, 466, 143, 1
20412, 552, 127, 1
20413, 124, 174, 1
20414, 170, 146, 1
20415, 244, 98, 1
20416, 96, 43, 1
20417, 2, 5, 1
20418, 0, 0, 1
20419, 0, 0, 1
20420, 0, 0, 1
20421, 0, 0, 1
20422, 0, 0, 1
20423, 0, 0, 1
20424, 0, 0, 1
20501, 0, 0, 1
20502, 0, 0, 1
20503, 0, 0, 1
20504, 0, 0, 1
20505, 0, 0, 1
20506, 0, 0, 1
20507, 81, 12, 1
20508, 139, 65, 1
20509, 205, 117, 1
20510, 442, 129, 1
20511, 636, 100, 1
20512, 829, 50, 1
20513, 174, 179, 1
20514, 26, 98, 1
20515, 33, 72, 1
20516, 143, 45, 1
20517, 2, 5, 1
20518, 0, 0, 1
20519, 0, 0, 1
20520, 0, 0, 1
20521, 0, 0, 1
20522, 0, 0, 1
20523, 0, 0, 1
20524, 0, 0, 1
20601, 0, 0, 1
20602, 0, 0, 1
20603, 0, 0, 1
20604, 0, 0, 1
20605, 0, 0, 1
20606, 0, 0, 1
20607, 57, 12, 1
20608, 93, 62, 1
20609, 84, 110, 1
20610, 74, 146, 1
20611, 146, 186, 1
20612, 60, 167, 1
20613, 29, 127, 1
20614, 38, 115, 1
20615, 62, 86, 1
20616, 53, 38, 1
20617, 2, 5, 1
20618, 0, 0, 1
20619, 0, 0, 1
20620, 0, 0, 1
20621, 0, 0, 1
20622, 0, 0, 1
20623, 0, 0, 1
20624, 0, 0, 1
20701, 0, 0, 1
20702, 0, 0, 1
20703, 0, 0, 1
20704, 0, 0, 1
20705, 0, 0, 1
20706, 0, 0, 1
20707, 268, 14, 1
20708, 370, 60, 1
20709, 585, 72, 1
20710, 736, 62, 1
20711, 910, 31, 1
20712, 948, 31, 1
20713, 922, 33, 1
20714, 793, 45, 1
20715, 616, 57, 1
20716, 160, 48, 1
20717, 10, 7, 1
20718, 0, 0, 1
20719, 0, 0, 1
20720, 0, 0, 1
20721, 0, 0, 1
20722, 0, 0, 1
20723, 0, 0, 1
20724, 0, 0, 1
20801, 0, 0, 1
20802, 0, 0, 1
20803, 0, 0, 1
20804, 0, 0, 1
20805, 0, 0, 1
20806, 0, 0, 1
20807, 81, 14, 1
20808, 105, 67, 1
20809, 194, 122, 1
20810, 110, 158, 1
20811, 131, 189, 1
20812, 91, 186, 1
20813, 139, 184, 1
20814, 110, 146, 1
20815, 268, 100, 1
20816, 375, 43, 1
20817, 10, 7, 1
20818, 0, 0, 1
20819, 0, 0, 1
20820, 0, 0, 1
20821, 0, 0, 1
20822, 0, 0, 1
20823, 0, 0, 1
20824, 0, 0, 1
20901, 0, 0, 1
20902, 0, 0, 1
20903, 0, 0, 1
20904, 0, 0, 1
20905, 0, 0, 1
20906, 0, 0, 1
20907, 53, 14, 1
20908, 72, 62, 1
20909, 141, 122, 1
20910, 841, 41, 1
20911, 667, 96, 1
20912, 822, 53, 1
20913, 934, 31, 1
20914, 889, 33, 1
20915, 834, 38, 1
20916, 354, 45, 1
20917, 10, 7, 1
20918, 0, 0, 1
20919, 0, 0, 1
20920, 0, 0, 1
20921, 0, 0, 1
20922, 0, 0, 1
20923, 0, 0, 1
20924, 0, 0, 1
21001, 0, 0, 1
21002, 0, 0, 1
21003, 0, 0, 1
21004, 0, 0, 1
21005, 0, 0, 1
21006, 0, 0, 1
21007, 179, 17, 1
21008, 177, 72, 1
21009, 153, 124, 1
21010, 67, 151, 1
21011, 19, 129, 1
21012, 14, 98, 1
21013, 5, 81, 1
21014, 7, 69, 1
21015, 7, 45, 1
21016, 5, 19, 1
21017, 2, 2, 1
21018, 0, 0, 1
21019, 0, 0, 1
21020, 0, 0, 1
21021, 0, 0, 1
21022, 0, 0, 1
21023, 0, 0, 1
21024, 0, 0, 1
21101, 0, 0, 1
21102, 0, 0, 1
21103, 0, 0, 1
21104, 0, 0, 1
21105, 0, 0, 1
21106, 0, 0, 1
21107, 184, 19, 1
21108, 91, 69, 1
21109, 115, 122, 1
21110, 440, 139, 1
21111, 593, 119, 1
21112, 612, 117, 1
21113, 738, 74, 1
21114, 593, 93, 1
21115, 695, 48, 1
21116, 354, 48, 1
21117, 33, 10, 1
21118, 0, 0, 1
21119, 0, 0, 1
21120, 0, 0, 1
21121, 0, 0, 1
21122, 0, 0, 1
21123, 0, 0, 1
21124, 0, 0, 1
21201, 0, 0, 1
21202, 0, 0, 1
21203, 0, 0, 1
21204, 0, 0, 1
21205, 0, 0, 1
21206, 0, 0, 1
21207, 155, 19, 1
21208, 311, 69, 1
21209, 170, 129, 1
21210, 253, 170, 1
21211, 105, 191, 1
21212, 79, 189, 1
21213, 184, 194, 1
21214, 287, 153, 1
21215, 129, 108, 1
21216, 57, 45, 1
21217, 19, 10, 1
21218, 0, 0, 1
21219, 0, 0, 1
21220, 0, 0, 1
21221, 0, 0, 1
21222, 0, 0, 1
21223, 0, 0, 1
21224, 0, 0, 1
21301, 0, 0, 1
21302, 0, 0, 1
21303, 0, 0, 1
21304, 0, 0, 1
21305, 0, 0, 1
21306, 0, 0, 1
21307, 53, 17, 1
21308, 229, 76, 1
21309, 244, 129, 1
21310, 411, 146, 1
21311, 612, 115, 1
21312, 507, 151, 1
21313, 877, 38, 1
21314, 905, 33, 1
21315, 547, 74, 1
21316, 79, 53, 1
21317, 19, 10, 1
21318, 0, 0, 1
21319, 0, 0, 1
21320, 0, 0, 1
21321, 0, 0, 1
21322, 0, 0, 1
21323, 0, 0, 1
21324, 0, 0, 1
21401, 0, 0, 1
21402, 0, 0, 1
21403, 0, 0, 1
21404, 0, 0, 1
21405, 0, 0, 1
21406, 0, 0, 1
21407, 119, 22, 1
21408, 346, 69, 1
21409, 585, 79, 1
21410, 676, 84, 1
21411, 246, 201, 1
21412, 50, 170, 1
21413, 24, 136, 1
21414, 17, 103, 1
21415, 12, 60, 1
21416, 14, 33, 1
21417, 10, 7, 1
21418, 0, 0, 1
21419, 0, 0, 1
21420, 0, 0, 1
21421, 0, 0, 1
21422, 0, 0, 1
21423, 0, 0, 1
21424, 0, 0, 1
21501, 0, 0, 1
21502, 0, 0, 1
21503, 0, 0, 1
21504, 0, 0, 1
21505, 0, 0, 1
21506, 0, 0, 1
21507, 41, 19, 1
21508, 24, 50, 1
21509, 7, 55, 1
21510, 7, 86, 1
21511, 19, 131, 1
21512, 12, 119, 1
21513, 5, 69, 1
