etajdt_case, Azwjdt, cosh, 1, cosÉ∆, cos2É∆, cos3É∆, cos4É∆, cos5É∆, cos6É∆, cos7É∆, etajdtA
1015, 74.0318925231103, 0.341665799182358, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.221650465354282
1016, 97.6024959958609, 0.23641266566412, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1017, 127.923368728092, 0.1955554299612, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1018, 161.592717296992, 0.214035015451868, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1019, -169.548720453037, 0.3069066456076, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1020, -139.618665365745, 0.633465372381997, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1021, -123.482439747779, 0.897630356782054, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1022, -108.272556147961, 0.998734860018288, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1023, -5.90360610990876, 0.999927965194223, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.890880344592796
1024, 9.51492435646685, 0.915435031932259, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.887655947531233
1025, 25.2214953067478, 0.666230676096435, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.854264446147251
1026, 51.5318925231103, 0.341665799182358, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.472908712890806
1027, 75.1024959958609, 0.23641266566412, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.144520179128963
1028, 105.423368728092, 0.1955554299612, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1029, 139.092717296992, 0.214035015451868, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1030, 167.951279546963, 0.3069066456076, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1031, -162.118665365745, 0.633465372381997, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1032, -145.982439747779, 0.897630356782054, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1033, -130.772556147961, 0.998734860018288, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1034, -28.4036061099088, 0.999927965194223, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.88435926510616
1035, -12.9850756435332, 0.915435031932259, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.886153959937005
1036, 2.72149530674778, 0.666230676096435, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.862849410333327
1037, 29.0318925231103, 0.341665799182358, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.620213499101713
1038, 52.6024959958609, 0.23641266566412, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.332241674986061
1039, 82.9233687280915, 0.1955554299612, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.0575735666853271
1040, 116.592717296992, 0.214035015451868, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1041, 145.451279546963, 0.3069066456076, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1042, 175.381334634255, 0.633465372381997, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1043, -168.482439747779, 0.897630356782054, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1044, -153.272556147961, 0.998734860018288, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
